0,12043-6225,28,2,12.0730,-62.4280,0.0000,2498,2630,1740,1783,4119.1675,4897.2990,4163.9690,5000.7207,5769.1810,6097.5083,5659.4453,6674.6147,7179.8270,9152.5100,10251.9360,10597.7720,10204.2680,9550.1030,9945.9650,10132.4490,9957.1160,9845.9370,9239.0160,8931.3160,9941.4690,9545.5140,8763.5140,8470.2040,8738.2480,7618.6990,7997.9287,8596.5880,7813.3480,6856.3290,6704.2730,6220.2944,5853.1646,5685.5127,5600.5127,5170.7686,5048.7740,4781.4863,5435.9756,5091.7980,5059.6410,4531.7200,4804.4795,4501.6934,8575.6530,8911.3560,8195.7250,7579.8800,6287.3740,5500.6753,5336.6006,5152.6235,4210.7637,4029.7117,3308.7466,2899.8150,2982.4224,2845.6604,2824.3228,2406.9540,2513.8850,2680.6750,2640.9106,2279.1929,2497.3325,3158.5620,2494.8713,2748.6820,2627.8225,2669.3901,2561.3833,2584.4604,2059.0562,2267.3674,2365.9924,1779.3666,2316.8135,2471.0370,1341.6499,1735.2395,2210.0460,1565.0769,1301.9282,1669.9149,2039.3359,1891.6134,1040.1157,1211.5358,1767.6233,1146.9471,1392.4745,1278.9945,1440.4820
1,12063-6259,85,3,12.1060,-62.9870,0.0000,1086,1241,421,674,7660.9990,7906.7840,7821.8984,7240.5156,6555.7860,6364.1265,5450.4020,5325.7190,4858.7485,4209.9604,3574.5896,3275.3613,2741.7080,2536.1704,2475.0950,2257.1477,2266.5710,2571.1155,3073.6062,3517.2880,3414.5022,3119.1765,3287.4640,3818.6196,4279.3716,4613.5513,4494.8670,4450.2017,4192.4840,4013.2407,3905.3386,3813.5017,3805.4858,3897.3374,3955.3274,4125.6665,4278.1904,4716.9060,5234.9805,4849.0806,4306.2886,3713.5862,3418.6624,3162.0870,3547.0015,3414.1482,3778.1106,4152.1035,4247.2563,4579.7380,4736.7600,4513.2666,4179.3680,4063.1357,3960.4020,3925.5420,3939.8250,4374.1150,5169.5640,5719.9424,5349.4775,5162.7490,5133.8965,5209.4272,5333.1714,5334.8480,5459.6190,5679.8457,5648.7266,5823.6050,6325.7227,6834.1353,7166.9736,6837.4700,6553.4800,6430.8990,6302.1265,6378.4414,6231.0313,6183.5093,6746.7120,6653.8022,6648.2983,6879.9707,7056.4053,6817.4297,6682.7944,6988.5977,7084.0360,6971.7830,7015.5747,6962.2200,6263.4400
2,12073-6233,95,3,12.1230,-62.5540,0.0000,481,270,63,451,3196.4287,3013.9722,3003.1490,3099.5684,3130.7747,3287.7385,3371.3590,3405.3242,3451.8127,3507.8682,3486.1530,3553.9514,3469.2240,3459.9504,3527.6140,3684.8008,3929.2888,3984.2554,4190.9243,4368.6910,4275.5186,4174.9146,4142.3760,4163.8450,4103.8633,4336.9700,4417.5737,4448.5570,4406.9824,4394.9907,4396.2993,4428.6740,4417.3574,4423.7840,4483.4863,4592.0200,4650.2030,4584.0170,4384.5810,4293.9336,4159.5986,3961.5928,3708.7979,3402.6930,4149.1540,3988.3118,4156.4233,4365.5293,4432.7780,4464.7354,4481.3640,4518.1797,4610.6910,4656.0050,4788.8213,4983.2246,5214.7764,5454.6060,5796.7040,6074.5273,6095.6157,6193.0530,6226.1950,6262.3940,6354.1990,6335.0645,6461.8306,6570.1724,6745.2090,6770.8022,6927.4770,6893.9960,7077.4556,6963.4250,6941.2363,6915.4060,6777.8687,6899.4478,6722.7876,6550.6200,6873.6860,6883.7036,6795.3250,7048.2163,6998.4155,6669.6110,6551.0590,6679.7715,6564.2630,6309.6396,5954.3880,5337.8887,4638.5244
3,12148-6741,18,4,12.2470,-67.6830,0.0000,191,232,103,103,26028.4510,23706.8140,21255.0660,19268.2970,17711.9700,16660.4730,15168.0050,14472.5940,13418.5690,12521.3300,11818.0670,10889.0180,10382.4170,9931.6410,9430.4160,8905.3070,8584.7940,8150.0660,7622.3774,7312.5650,7140.9230,6767.3910,6391.2246,5999.1370,5875.3980,5746.3623,5396.8380,5172.1973,5106.9740,4815.9478,4559.4740,4459.7610,4267.0786,4069.0964,3841.9033,3859.1426,3671.8264,3468.5840,3331.7703,3250.7612,3315.8818,3096.7456,2962.6350,2956.0576,7114.6836,6413.3110,5624.2660,5164.6543,4404.8340,3958.5059,3647.6702,3281.0435,2898.4766,2630.1482,2401.6707,2252.8948,2056.2979,1918.1484,1779.9994,1679.0441,1543.5516,1463.8502,1352.2681,1272.5667,1182.2383,1105.1936,1052.0592,998.9250,967.0444,913.9100,860.7758,842.1788,791.7011,757.1639,642.9251,717.3131,711.9997,584.4774,637.6117,611.0446,563.2237,539.3132,536.6565,523.3729,507.4326,446.3282,417.1043,454.2983,448.9849,459.6118,409.1342,366.6267,332.0894
4,12216-6218,42,0,12.3600,-62.3030,0.0000,1401,1268,1042,1063,15835.3850,15097.6970,14774.4180,15353.4850,13989.9070,12910.5310,12632.6430,12481.2230,10711.8570,10101.6820,10074.7330,9633.1570,8729.2640,8142.6330,8524.4450,7750.5900,7820.4487,8042.5000,8046.2150,7943.4860,7393.1380,7141.7350,7574.4756,7269.7870,6768.7820,7194.0605,6705.8160,6279.8970,6620.6820,5943.3930,5455.0015,5667.2780,5499.8228,4937.9604,4999.7324,4149.8240,4160.1760,4471.3223,3802.9280,3712.3076,4155.4440,3507.1475,3653.0781,3608.2168,7488.1987,7497.9840,6964.8580,6191.4766,5031.0938,4663.1590,4693.2960,4070.4497,3638.3953,3930.9126,3276.9526,3120.1082,2781.6868,2760.6172,3042.2236,2454.3887,2128.8730,2460.0510,2000.6597,2175.9490,1933.0303,1968.9368,1689.3550,1679.4261,1634.6560,1624.7477,1589.1683,1645.3135,1426.3228,1425.6221,1417.5922,1305.0154,1364.8705,1076.2161,1123.2456,1082.2356,1393.4178,1123.1339,1058.2980,1083.3488,664.5051,909.6835,837.5338,862.6076,693.2511,890.7596,473.7830,658.4614,725.7495
5,12226+0102,4,4,12.3780,1.0460,0.0000,515,589,403,419,15979.9120,15094.2180,15370.2120,15239.3690,15328.0780,14923.8380,14631.0810,15072.8250,14783.5440,14046.8830,12773.3540,12408.2190,11989.0950,11558.1870,11034.4500,10037.9960,9745.6340,10003.7150,8808.1180,8904.1710,9086.3570,9439.0950,8343.2150,8591.3170,7615.3594,7044.6343,7275.9180,6218.9780,6068.7227,5428.8525,5131.7446,4442.9460,4085.0894,4164.5440,3538.2634,3710.6106,3175.5344,3108.1587,2652.4653,2791.1018,2536.3550,2261.3606,2264.9634,2688.9890,8636.8730,8252.7510,7210.1855,6007.2480,4757.0600,3989.7754,3269.7860,2926.3274,2457.9448,1982.8251,1739.0306,1952.8050,1812.0300,1575.0290,1415.7058,1664.9855,1249.0480,1314.3134,1227.6326,1223.6921,1164.0435,1178.6924,1233.8707,1093.2030,969.4263,881.1129,954.8921,994.9098,778.2980,877.4219,969.7979,726.1888,680.1276,718.4912,554.2524,639.9010,772.8293,622.1120,778.6870,400.0452,284.7971,517.3624,474.7234,577.2902,473.8766,377.2203,368.3640,548.6114,327.0243
6,12230-5943,23,4,12.3840,-59.7250,0.0000,497,525,286,338,13409.6920,12985.1470,12330.4120,11932.7450,11440.4690,10709.5270,10513.8800,10045.6650,10006.8180,10419.9360,10280.8400,10688.3340,10961.6640,10826.8430,10686.3800,10167.4210,9816.5400,9604.0770,9120.4530,9112.7990,8910.2480,8196.4375,8252.3610,8062.5444,7655.2340,7093.9850,6703.6353,6779.3657,6764.7114,6134.2820,5861.1810,5517.4683,5194.9470,4991.0664,4706.6870,4878.5000,4410.5260,4325.3020,4062.1262,3844.1506,3935.4822,3666.6702,3539.0962,3575.3584,8089.0760,7961.0493,7285.1140,6592.3027,5580.3677,4963.9490,4436.5635,4097.0713,3740.6775,3326.4226,3098.6375,2846.8813,2662.9536,2431.0405,2248.5910,2350.0537,2162.0140,1971.1775,1961.1465,1898.8837,1826.7579,1686.8623,1712.2323,1700.9021,1576.6040,1524.3547,1570.9872,1386.0132,1308.3948,1398.8611,1246.4199,1182.9712,1173.2072,1160.6318,1107.1125,958.9792,1026.9476,998.8891,955.3074,969.6430,893.6000,793.5584,882.7816,755.9270,739.2452,620.8850,680.4894,723.1552,613.2970
7,12233-5920,29,2,12.3890,-59.3460,0.0000,747,901,293,313,4723.8423,5399.3550,5080.2930,4978.8910,4896.7485,5576.8037,5950.4644,6248.9590,7323.3140,8390.9040,9771.8850,10883.3930,11678.9050,12311.6610,12549.0580,12332.2590,11700.9430,11143.5580,10818.8180,10546.1180,10001.1850,9427.5580,9346.5340,9087.6770,8909.5840,8455.1450,7743.5156,7472.4890,7283.5825,6912.7373,6603.4920,5887.9140,5498.0010,5270.9336,5194.3950,5067.2603,4632.2993,4577.7300,4350.7860,4532.9660,4211.6626,3913.6400,3968.6387,3767.8022,10044.8460,9344.8180,8491.5800,7059.6113,6180.4287,5547.5474,4610.9420,4373.5166,4043.0688,3671.5918,3468.4207,3087.3958,2944.4543,2822.0488,2632.6125,2471.9202,2422.0642,2550.0874,2508.4607,2423.0600,2522.3780,2449.3086,2377.6157,2329.1900,2365.6013,2404.7559,2322.1462,2061.6740,2043.3837,2044.2539,2012.2930,2020.0157,1771.8873,1789.1986,1755.8907,1689.7506,1711.1814,1405.6124,1294.3353,1464.9156,1301.6544,1135.6611,1213.2148,1189.5244,1184.9927,1124.3679,983.0216,919.6674,990.4020
8,12247-5842,18,2,12.4120,-58.7160,0.0000,557,550,330,328,24852.1560,23494.6580,21760.8300,20237.5230,18943.1520,17393.5100,15909.6480,14902.0970,13665.5890,12418.5490,12279.3950,11266.5540,10666.8620,10301.3770,9267.4670,8862.4980,8531.2080,7842.0210,7631.7754,6992.5796,7140.2200,6803.6480,6332.8620,6151.5460,5757.0684,5602.0620,5281.2620,5084.1440,4800.1810,4666.2153,4774.3516,4566.6960,4369.5650,3446.1167,3704.2434,3901.8410,3875.7524,3494.4000,3428.8340,3360.6345,3242.4326,2918.9666,2840.2349,2937.8170,6845.8955,6314.4840,5672.5410,5085.8564,4467.5880,4057.2092,3483.6692,3018.0198,2804.9980,2647.2360,2515.7870,2155.3887,1997.6188,1718.7938,1647.8610,1692.7151,1466.5151,1429.7865,1261.4775,1180.0084,1088.0116,1346.0123,914.5391,848.8533,980.5341,783.2667,830.7344,722.9380,812.5084,599.4467,496.9099,739.1083,749.7270,736.6606,518.3305,399.9993,539.5613,402.8072,466.0518,605.6111,405.6968,289.9919,371.6544,519.1053,440.2402,264.0062,437.7708,361.5352,164.2465
9,12274-7647,4,0,12.4570,-76.7880,0.0000,535,568,324,362,7437.9920,7775.4930,8206.8810,9054.7220,9833.8390,10493.9980,10655.7820,11683.4920,11830.7680,11947.6540,12491.5610,12246.2470,11974.5070,11817.7940,11445.6060,11158.0380,10857.2620,10660.9330,10115.6045,9758.0110,9615.9120,9259.6570,9211.4370,8996.6520,8684.0480,8195.6250,7893.6110,7488.4890,6692.0610,5944.5547,5651.8210,5024.6280,4690.9243,4055.8115,3732.6946,3652.8310,3274.2012,3134.8574,3118.4644,2923.6072,2956.1377,2781.1191,2681.4587,2464.1450,9545.5240,8860.4600,7942.7780,6748.8486,5461.1025,4254.0400,3422.4622,3117.0745,2873.8520,2530.1887,2465.4946,2390.2512,2172.2566,2194.8892,2269.1008,2265.3360,2270.8445,2185.1540,2268.6968,2243.8530,2189.9412,1985.3372,2009.4534,2017.7198,2061.6936,1957.6167,2053.1736,1963.6631,1900.6045,1854.7428,1701.8099,1711.4927,1583.6986,1576.2157,1455.0502,1332.5717,1389.8938,1322.9568,1205.7924,1245.9532,1163.1764,1068.5090,1057.1350,1099.9700,1112.4063,1024.3774,994.5231,1020.1992,887.2416
